                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.49643,                0.61027,                 1.1798,                0.90981,                0.89355,                0.91504,                0.78308,                0.66327,                 0.6124,                 1.1569,             0.00022918,             0.00022918,             0.00022918
                     59,                0.50516,                0.61174,                 1.1832,                0.90651,                0.89392,                0.91249,                0.78562,                0.67092,                0.59456,                 1.1606,             0.00022397,             0.00022397,             0.00022397
                     60,                0.49044,                0.60024,                 1.1729,                0.89994,                0.89411,                0.90814,                0.77865,                0.66423,                0.58935,                 1.1667,             0.00021876,             0.00021876,             0.00021876
                     61,                0.50356,                0.60655,                 1.1811,                0.92011,                0.88933,                0.91208,                0.78476,                0.65887,                  0.584,                 1.1546,             0.00021356,             0.00021356,             0.00021356
                     62,                0.49049,                0.60075,                 1.1734,                0.90593,                 0.8926,                0.91277,                0.78308,                0.66435,                 0.5837,                 1.1669,             0.00020835,             0.00020835,             0.00020835
                     63,                  0.493,                0.59175,                 1.1745,                0.90576,                0.89743,                0.91293,                0.78569,                0.64839,                 0.5828,                 1.1441,             0.00020314,             0.00020314,             0.00020314
                     64,                 0.4853,                0.57428,                 1.1726,                0.91268,                0.89749,                0.91493,                0.78512,                0.66694,                0.58723,                 1.1678,             0.00019793,             0.00019793,             0.00019793
                     65,                0.48961,                0.58674,                 1.1687,                0.90221,                0.89254,                0.91312,                0.78679,                0.65555,                0.57589,                 1.1515,             0.00019273,             0.00019273,             0.00019273
                     66,                0.48405,                 0.5862,                 1.1666,                0.92689,                0.88064,                0.91443,                0.79121,                 0.6481,                0.59247,                 1.1439,             0.00018752,             0.00018752,             0.00018752
                     67,                 0.4867,                0.57595,                 1.1695,                0.91483,                0.88595,                0.91354,                0.78585,                0.65427,                0.59564,                 1.1541,             0.00018231,             0.00018231,             0.00018231
                     68,                0.48509,                0.57493,                  1.172,                0.91019,                0.89336,                0.91678,                0.78739,                0.66232,                0.59232,                 1.1571,              0.0001771,              0.0001771,              0.0001771
